,Worm,Dataset,CPD,fDNC,StatAtlas (base),StatAtlas (retrain),CRF (base),CRF (retrain)
26,20190929_07,EY,0.3238636363636363,0.1751412429378531,0.4659090909090909,0.6079545454545454,0.454545455,0.596590909
28,20191030_03,EY,0.3571428571428571,0.5135135135135135,0.5659340659340659,0.6263736263736264,0.489010989,0.631868132
33,20191030_07,EY,0.4971428571428571,0.4444444444444444,0.3657142857142857,0.5142857142857142,0.394285714,0.56
57,20191104_08,EY,0.4745762711864407,0.5363128491620112,0.5649717514124294,0.6214689265536724,0.610169492,0.610169492
22,20191104_10,EY,0.5459770114942529,0.396551724137931,0.3735632183908046,0.5919540229885057,0.5,0.666666667
14,1,HL,0.4032258064516129,0.7345132743362832,0.5483870967741935,0.8870967741935484,0.806451613,0.870967742
20,2,HL,0.4482758620689655,0.6115702479338843,0.5689655172413793,0.8275862068965517,0.879310345,0.879310345
18,3,HL,0.734375,0.7521367521367521,0.609375,0.8125,0.828125,0.890625
7,4,HL,0.3492063492063492,0.7622950819672131,0.5396825396825397,0.8095238095238095,0.714285714,0.888888889
5,5,HL,0.4375,0.7073170731707317,0.515625,0.8125,0.78125,0.84375
0,6,HL,0.5223880597014925,0.6194690265486725,0.4626865671641791,0.8059701492537313,0.835820896,0.910447761
1,7,HL,0.4461538461538462,0.8547008547008547,0.4090909090909091,0.803030303030303,0.848484848,0.90625
83,8,HL,0.5303030303030303,0.788135593220339,0.4696969696969697,0.8787878787878788,0.848484848,0.878787879
77,9,HL,0.5882352941176471,0.776,0.5362318840579711,0.8985507246376812,0.797101449,0.925373134
67,20230918-13-21-0,KK,0.3221476510067114,0.1409395973154362,0.3087248322147651,0.4563758389261745,0.362416107,0.523489933
8,20230918-17-21-0,KK,0.3461538461538461,0.3397435897435897,0.358974358974359,0.4935897435897436,0.5,0.551282051
93,20230918-9-54-0,KK,0.3866666666666666,0.38,0.4666666666666667,0.44,0.493333333,0.526666667
36,20230928-11-14-0,KK,0.2611464968152866,0.4076433121019108,0.3248407643312102,0.42038216560509556,0.47133758,0.560509554
24,20230928-14-27-0,KK,0.3441558441558441,0.3766233766233766,0.34415584415584416,0.512987012987013,0.41025641,0.538961039
53,20230928-16-0-0,KK,0.3866666666666666,0.42,0.3466666666666667,0.5533333333333333,0.493333333,0.573333333
39,20231013-11-11-0,KK,0.3558282208588957,0.3803680981595092,0.34355828220858897,0.49693251533742333,0.445859873,0.552147239
91,20231013-13-28-0,KK,0.3831168831168831,0.0974025974025974,0.45454545454545453,0.551948051948052,0.538961039,0.642857143
50,2022-06-14-01,SF,0.3090909090909091,0.4683544303797468,0.4,0.6727272727272727,0.690909091,0.890909091
59,2022-06-14-07,SF,0.108695652173913,0.4044943820224719,0.2127659574468085,0.5106382978723404,0.425531915,0.595744681
