Filename,Best_template,top1,top2,top3,top4,top5,cost
56_YAaDV,76_YAaDV,0.413265306122449,0.5867346938775511,0.6632653061224489,0.6989795918367347,0.7193877551020408,7.352577448869475
20190928_08,20190925_04,0.4426229508196721,0.5846994535519126,0.644808743169399,0.6994535519125683,0.73224043715847,8.420162095994133
3,9,0.7606837606837606,0.8461538461538461,0.9316239316239316,0.9316239316239316,0.9316239316239316,3.915717802995698
2023-01-16-22,2022-08-02-01,0.5869565217391305,0.6956521739130435,0.7282608695652174,0.7608695652173914,0.782608695652174,8.085723490487615
2,1,0.7851239669421488,0.8677685950413223,0.8842975206611571,0.8925619834710744,0.8925619834710744,4.05981984727511
2023-01-13-07,2022-08-02-01,0.4642857142857143,0.6666666666666666,0.6904761904761905,0.75,0.7619047619047619,7.690960490072135
20191104_10,20191030_07,0.5344827586206896,0.6609195402298851,0.6781609195402298,0.7183908045977011,0.7586206896551724,6.3875409187529
20190929_06,20190925_01,0.4606741573033708,0.5674157303370787,0.6235955056179775,0.6685393258426966,0.6853932584269663,7.069778305823877
20230928-14-27-0,20231013-9-30-0,0.0454545454545454,0.0844155844155844,0.1168831168831168,0.1233766233766233,0.1558441558441558,9.327346582724532
64_YAaDV,76_YAaDV,0.5,0.609375,0.671875,0.6979166666666666,0.7447916666666666,6.833402947339202
2023-01-23-15,2023-01-17-07,0.5098039215686274,0.6568627450980392,0.6862745098039216,0.7254901960784313,0.7450980392156863,6.294144559712831
20190929_07,20190925_01,0.4745762711864407,0.5932203389830508,0.6384180790960452,0.7005649717514124,0.7288135593220338,6.9709705969649
2023-01-17-07,2022-08-02-01,0.627906976744186,0.7325581395348837,0.7906976744186046,0.8255813953488372,0.8255813953488372,4.275357296464699
20191030_03,20191104_08,0.4918918918918919,0.5891891891891892,0.6486486486486487,0.6864864864864865,0.7135135135135136,7.14563692839642
20190929_05,20191104_10,0.4941176470588235,0.6529411764705882,0.7235294117647059,0.7823529411764706,0.8,7.044343716711423
2022-03-05-w00-NP1,2022-02-12-w01-NP1,0.7321428571428571,0.8511904761904762,0.8869047619047619,0.9047619047619048,0.9047619047619048,4.164229193990399
20190925_04,20190928_08,0.4463276836158192,0.5875706214689266,0.6779661016949152,0.7062146892655368,0.7231638418079096,8.746447009045344
11_YAaLR,70_YAaLR,0.4639175257731959,0.5721649484536082,0.6443298969072165,0.6855670103092784,0.7216494845360825,8.685923134766897
76_YAaDV,64_YAaDV,0.4559585492227979,0.5751295336787565,0.6528497409326425,0.6994818652849741,0.7253886010362695,7.429475482543673
2022-07-15-12,2022-08-02-01,0.5638297872340425,0.6808510638297872,0.7446808510638298,0.776595744680851,0.7872340425531915,6.161721336384974
20191030_07,20191104_10,0.5055555555555555,0.5944444444444444,0.6611111111111111,0.7055555555555556,0.7111111111111111,6.4116193370309125
20190925_01,20190928_07,0.5489130434782609,0.6141304347826086,0.6793478260869565,0.7065217391304348,0.7119565217391305,6.322117435477562
2023-01-17-01,2022-08-02-01,0.5,0.6458333333333334,0.6979166666666666,0.7291666666666666,0.7395833333333334,8.19730555579356
20230928-11-14-0,20230928-14-27-0,0.3248407643312102,0.375796178343949,0.4203821656050955,0.4585987261146497,0.5031847133757962,9.93010286715794
2023-01-09-15,2023-01-09-08,0.284313725490196,0.3627450980392157,0.3823529411764705,0.3823529411764705,0.3823529411764705,6.138407494172026
