Filename,Best_template,top1,top2,top3,top4,top5,cost,task
2022-04-26-w01-NP1,2022-03-05-w00-NP1,0.7444444444444445,0.85,0.9166666666666666,0.9444444444444444,0.95,5.270351060545258,train_2
20190924_01,20190925_01,0.4640883977900552,0.5911602209944752,0.6629834254143646,0.712707182320442,0.7458563535911602,6.989685762237073,train_2
20231013-13-28-0,20231013-11-11-0,0.0649350649350649,0.1038961038961039,0.1493506493506493,0.2012987012987013,0.2272727272727272,10.491551511942925,train_2
4,1,0.8032786885245902,0.8852459016393442,0.8934426229508197,0.9098360655737704,0.9098360655737704,3.826586404824342,train_3
20230322-22-43-03,20230322-21-41-10,0.6722689075630253,0.7563025210084033,0.7899159663865546,0.7983193277310925,0.8067226890756303,4.1569815342546494,train_3
2023-01-16-08,2023-01-09-08,0.3645833333333333,0.4583333333333333,0.5208333333333334,0.5208333333333334,0.5520833333333334,6.372235415981338,train_3
20190929_07,20191104_10,0.4463276836158192,0.5988700564971752,0.655367231638418,0.7062146892655368,0.7457627118644068,7.028027753635668,train_3
2023-01-17-07,2022-08-02-01,0.6395348837209303,0.7441860465116279,0.813953488372093,0.8255813953488372,0.8372093023255814,4.388404760106726,train_3
20190925_01,20190928_07,0.5652173913043478,0.625,0.6739130434782609,0.7065217391304348,0.7336956521739131,6.494715511950298,train_3
20230928-11-14-0,20230928-14-27-0,0.3248407643312102,0.3821656050955414,0.4267515923566879,0.4585987261146497,0.4904458598726114,9.709525258683982,train_3
20221028-18-48-00,20221106-21-47-31,0.5,0.6509433962264151,0.7075471698113207,0.7452830188679245,0.8018867924528302,4.297956249314062,train_3
2023-01-23-21,2023-01-16-15,0.5445544554455446,0.6039603960396039,0.6237623762376238,0.6435643564356436,0.6435643564356436,7.107936875273962,train_3
20230909-16-48-09,20230510-13-25-46,0.6410256410256411,0.7307692307692307,0.7948717948717948,0.8205128205128205,0.8333333333333334,3.697534089091373,train_3
2022-02-22-w04-NP1,2022-04-26-w00-NP1,0.8103448275862069,0.9022988505747126,0.9252873563218392,0.9252873563218392,0.9252873563218392,4.6825250635665565,train_3
20230918-13-21-0,20230928-14-27-0,0.2751677852348993,0.3154362416107382,0.348993288590604,0.3892617449664429,0.436241610738255,9.765216661972849,train_3
20190928_07,20190925_01,0.5388888888888889,0.6388888888888888,0.6944444444444444,0.7166666666666667,0.7555555555555555,6.079307978851757,train_3
20230510-12-53-34,20230506-15-33-51,0.5478260869565217,0.7217391304347827,0.7478260869565218,0.8173913043478261,0.8173913043478261,3.1049930334886606,train_3
2022-04-26-w00-NP1,2022-02-22-w04-NP1,0.8,0.9222222222222224,0.95,0.9777777777777776,0.9777777777777776,4.629200455750924,train_3
9,3,0.752,0.848,0.888,0.888,0.888,4.209671132910188,train_3
2022-07-20-01,2022-08-02-01,0.5051546391752577,0.6494845360824743,0.7319587628865979,0.7628865979381443,0.7628865979381443,6.3473114660118455,train_3
20190928_01,20190928_07,0.5116279069767442,0.622093023255814,0.7151162790697675,0.75,0.7616279069767442,7.621113107726853,train_3
5,4,0.8699186991869918,0.902439024390244,0.926829268292683,0.926829268292683,0.934959349593496,4.436739278058418,train_4
2023-01-06-08,2022-08-02-01,0.5955056179775281,0.7528089887640449,0.7865168539325843,0.8089887640449438,0.8089887640449438,7.179458265884037,train_4
20221106-21-47-31,20221215-20-02-49,0.358974358974359,0.4871794871794871,0.5811965811965812,0.6153846153846154,0.6239316239316239,4.047949587511832,train_4
20190929_06,20190925_01,0.4606741573033708,0.5674157303370787,0.6235955056179775,0.6685393258426966,0.6853932584269663,7.069778305823877,train_4
20230928-14-27-0,20231013-9-30-0,0.0454545454545454,0.0844155844155844,0.1168831168831168,0.1233766233766233,0.1558441558441558,9.327346582724532,train_4
20191030_07,20191104_10,0.5055555555555555,0.5944444444444444,0.6611111111111111,0.7055555555555556,0.7111111111111111,6.4116193370309125,train_4
2023-01-17-01,2022-08-02-01,0.5,0.6458333333333334,0.6979166666666666,0.7291666666666666,0.7395833333333334,8.19730555579356,train_4
