,Filename,Best_template,top1,top2,top3,top4,top5
19,20190928_08,64_YAaDV,0.453551912568306,0.6065573770491803,0.6885245901639344,0.7049180327868853,0.7486338797814208
20,3,11_YAaLR,0.046875,0.1875,0.265625,0.3125,0.34375
21,2023-01-16-22,56_YAaDV,0.038461538461538464,0.05128205128205128,0.0641025641025641,0.10256410256410256,0.11538461538461539
22,2,76_YAaDV,0.1206896551724138,0.20689655172413793,0.22413793103448276,0.29310344827586204,0.3275862068965517
23,2023-01-13-07,56_YAaDV,0.125,0.1388888888888889,0.16666666666666666,0.2638888888888889,0.3194444444444444
24,20191104_10,56_YAaDV,0.46551724137931033,0.5919540229885057,0.632183908045977,0.6724137931034483,0.7068965517241379
25,20190929_06,56_YAaDV,0.4342857142857143,0.6228571428571429,0.6628571428571428,0.6857142857142857,0.7085714285714285
26,20230928-14-27-0,62_YAaLR,0.2727272727272727,0.45454545454545453,0.5584415584415584,0.6298701298701299,0.6818181818181818
27,64_YAaDV,64_YAaDV,1.0,1.0,1.0,1.0,1.0
28,2023-01-23-15,62_YAaLR,0.01282051282051282,0.05128205128205128,0.11538461538461539,0.14102564102564102,0.20512820512820512
29,20190929_07,11_YAaLR,0.4943181818181818,0.6136363636363636,0.6818181818181818,0.7045454545454546,0.75
30,2023-01-17-07,56_YAaDV,0.13924050632911392,0.24050632911392406,0.2911392405063291,0.31645569620253167,0.3670886075949367
31,20191030_03,62_YAaLR,0.46153846153846156,0.5824175824175825,0.6593406593406593,0.7142857142857143,0.7417582417582418
32,20190929_05,62_YAaLR,0.48214285714285715,0.5773809523809523,0.6011904761904762,0.6726190476190477,0.7142857142857143
33,2022-03-05-w00-NP1,56_YAaDV,0.07692307692307693,0.11538461538461539,0.17307692307692307,0.19230769230769232,0.23076923076923078
34,20190925_04,56_YAaDV,0.4602272727272727,0.6306818181818182,0.7102272727272727,0.7215909090909091,0.7613636363636364
35,11_YAaLR,11_YAaLR,1.0,1.0,1.0,1.0,1.0
36,76_YAaDV,76_YAaDV,1.0,1.0,1.0,1.0,1.0
37,2022-07-15-12,56_YAaDV,0.078125,0.078125,0.09375,0.09375,0.125
38,20191030_07,62_YAaLR,0.4685714285714286,0.5428571428571428,0.6628571428571428,0.7142857142857143,0.7371428571428571
39,20190925_01,70_YAaLR,0.5722222222222222,0.65,0.6833333333333333,0.7222222222222222,0.7722222222222223
40,2023-01-17-01,56_YAaDV,0.3132530120481928,0.3855421686746988,0.4457831325301205,0.5301204819277109,0.5301204819277109
41,20230928-11-14-0,62_YAaLR,0.3375796178343949,0.45222929936305734,0.5859872611464968,0.6305732484076433,0.6624203821656051
42,2023-01-09-15,56_YAaDV,0.22105263157894736,0.3473684210526316,0.43157894736842106,0.4842105263157895,0.5368421052631579
