,Filename,Best_template,top1,top2,top3,top4,top5
23,2023-01-13-07,56_YAaDV,0.19444444444444445,0.25,0.2916666666666667,0.3888888888888889,0.4305555555555556
24,20191104_10,56_YAaDV,0.4827586206896552,0.5862068965517241,0.6494252873563219,0.6839080459770115,0.7183908045977011
25,20190929_06,56_YAaDV,0.48,0.5885714285714285,0.6628571428571428,0.6971428571428572,0.7028571428571428
26,20230928-14-27-0,62_YAaLR,0.3051948051948052,0.461038961038961,0.538961038961039,0.6103896103896104,0.6363636363636364
27,64_YAaDV,64_YAaDV,1.0,1.0,1.0,1.0,1.0
28,2023-01-23-15,62_YAaLR,0.02564102564102564,0.08974358974358974,0.15384615384615385,0.1794871794871795,0.24358974358974358
29,20190929_07,11_YAaLR,0.4772727272727273,0.6022727272727273,0.7045454545454546,0.7386363636363636,0.7613636363636364
30,2023-01-17-07,56_YAaDV,0.16455696202531644,0.31645569620253167,0.3670886075949367,0.4050632911392405,0.4430379746835443
31,20191030_03,62_YAaLR,0.45604395604395603,0.5659340659340659,0.6428571428571429,0.6813186813186813,0.7142857142857143
32,20190929_05,62_YAaLR,0.4166666666666667,0.5535714285714286,0.5892857142857143,0.6369047619047619,0.6785714285714286
33,2022-03-05-w00-NP1,56_YAaDV,0.3269230769230769,0.4807692307692308,0.5384615384615384,0.5384615384615384,0.5769230769230769
34,20190925_04,56_YAaDV,0.4602272727272727,0.6193181818181818,0.6931818181818182,0.7386363636363636,0.7613636363636364
35,11_YAaLR,11_YAaLR,1.0,1.0,1.0,1.0,1.0
36,76_YAaDV,76_YAaDV,1.0,1.0,1.0,1.0,1.0
37,2022-07-15-12,56_YAaDV,0.078125,0.109375,0.203125,0.21875,0.265625
38,20191030_07,62_YAaLR,0.44571428571428573,0.5714285714285714,0.6457142857142857,0.6914285714285714,0.7314285714285714
39,20190925_01,70_YAaLR,0.45555555555555555,0.5944444444444444,0.6666666666666666,0.7166666666666667,0.7666666666666667
40,2023-01-17-01,56_YAaDV,0.3614457831325301,0.4819277108433735,0.5180722891566265,0.5421686746987951,0.5662650602409639
41,20230928-11-14-0,62_YAaLR,0.28662420382165604,0.4585987261146497,0.554140127388535,0.5796178343949044,0.6305732484076433
42,2023-01-09-15,56_YAaDV,0.30526315789473685,0.45263157894736844,0.5473684210526316,0.6,0.6421052631578947
43,20190929_03,56_YAaDV,0.4742857142857143,0.5714285714285714,0.64,0.7142857142857143,0.7371428571428571
44,20231013-11-11-0,56_YAaDV,0.36809815950920244,0.4662576687116564,0.5398773006134969,0.6196319018404908,0.6871165644171779
45,20190929_02,56_YAaDV,0.25609756097560976,0.3719512195121951,0.49390243902439024,0.5182926829268293,0.5426829268292683
46,20221028-18-48-00,56_YAaDV,0.11363636363636363,0.18181818181818182,0.29545454545454547,0.3409090909090909,0.3409090909090909
47,2023-01-19-08,56_YAaDV,0.01818181818181818,0.09090909090909091,0.10909090909090909,0.12727272727272726,0.14545454545454545
48,2023-01-23-21,76_YAaDV,0.25609756097560976,0.2682926829268293,0.32926829268292684,0.3902439024390244,0.43902439024390244
49,2022-02-12-w01-NP1,56_YAaDV,0.49206349206349204,0.6825396825396826,0.7301587301587301,0.7777777777777778,0.8095238095238095
50,20230909-16-48-09,55_YAaDV,0.19444444444444445,0.3055555555555556,0.4444444444444444,0.5,0.5277777777777778
51,2023-01-05-18,56_YAaDV,0.04878048780487805,0.0975609756097561,0.12195121951219512,0.17073170731707318,0.18292682926829268
52,2023-01-23-08,56_YAaDV,0.08064516129032258,0.11290322580645161,0.20967741935483872,0.22580645161290322,0.25806451612903225
53,2023-01-10-07,56_YAaDV,0.17073170731707318,0.24390243902439024,0.3048780487804878,0.35365853658536583,0.4024390243902439
54,20221215-20-02-49,56_YAaDV,0.1875,0.359375,0.375,0.4375,0.46875
55,2022-06-14-01,56_YAaDV,0.05454545454545454,0.05454545454545454,0.05454545454545454,0.09090909090909091,0.14545454545454545
56,2022-02-11-w03-NP1,56_YAaDV,0.27906976744186046,0.4186046511627907,0.4418604651162791,0.5581395348837209,0.6046511627906976
57,20230904-15-09-05,56_YAaDV,0.28205128205128205,0.38461538461538464,0.48717948717948717,0.5,0.5
58,20230928-16-0-0,62_YAaLR,0.3333333333333333,0.47333333333333333,0.56,0.6133333333333333,0.68
59,20230510-15-49-47,64_YAaDV,0.20930232558139536,0.37209302325581395,0.4418604651162791,0.46511627906976744,0.5116279069767442
60,2023-01-09-22,56_YAaDV,0.19736842105263158,0.3026315789473684,0.3815789473684211,0.4342105263157895,0.47368421052631576
61,2022-02-22-w04-NP1,56_YAaDV,0.22916666666666666,0.25,0.3958333333333333,0.4375,0.4791666666666667
62,20191104_08,56_YAaDV,0.5423728813559322,0.6610169491525424,0.711864406779661,0.7796610169491526,0.807909604519774
63,2022-02-12-w00-NP1,56_YAaDV,0.5,0.55,0.6166666666666667,0.75,0.7666666666666667
64,2022-06-14-07,56_YAaDV,0.043478260869565216,0.06521739130434782,0.08695652173913043,0.08695652173913043,0.08695652173913043
65,2022-06-14-13,62_YAaLR,0.029411764705882353,0.08823529411764706,0.16176470588235295,0.19117647058823528,0.22058823529411764
66,20230506-15-33-51,56_YAaDV,0.18181818181818182,0.2727272727272727,0.3409090909090909,0.36363636363636365,0.4090909090909091
67,20230322-18-57-04,56_YAaDV,0.15217391304347827,0.2608695652173913,0.32608695652173914,0.32608695652173914,0.3695652173913043
68,2022-06-28-01,64_YAaDV,0.11864406779661017,0.2542372881355932,0.3728813559322034,0.4406779661016949,0.4576271186440678
69,20_YAaLR,20_YAaLR,1.0,1.0,1.0,1.0,1.0
70,2022-04-01-w00-NP1,56_YAaDV,0.4772727272727273,0.5681818181818182,0.6590909090909091,0.7045454545454546,0.75
71,2023-03-07-01,62_YAaLR,0.03333333333333333,0.08333333333333333,0.1,0.13333333333333333,0.16666666666666666
72,20230904-15-59-40,56_YAaDV,0.21428571428571427,0.30357142857142855,0.30357142857142855,0.32142857142857145,0.39285714285714285
73,20230918-13-21-0,62_YAaLR,0.2684563758389262,0.40939597315436244,0.5234899328859061,0.5771812080536913,0.6375838926174496
74,20190928_05,56_YAaDV,0.3353658536585366,0.5304878048780488,0.6463414634146342,0.6829268292682927,0.7195121951219512
75,20190928_11,56_YAaDV,0.4632768361581921,0.5819209039548022,0.6779661016949152,0.7344632768361582,0.7457627118644068
76,20190928_07,7_YAaLR,0.5195530726256983,0.6368715083798883,0.6927374301675978,0.7318435754189944,0.7597765363128491
77,20190928_13,56_YAaDV,0.4857142857142857,0.5828571428571429,0.6457142857142857,0.6628571428571428,0.7142857142857143
78,62_YAaLR,62_YAaLR,1.0,1.0,1.0,1.0,1.0
79,20230510-12-53-34,62_YAaLR,0.22448979591836735,0.3673469387755102,0.3877551020408163,0.46938775510204084,0.4897959183673469
80,2023-01-06-01,56_YAaDV,0.06060606060606061,0.10606060606060606,0.16666666666666666,0.22727272727272727,0.25757575757575757
81,7_YAaLR,7_YAaLR,1.0,1.0,1.0,1.0,1.0
82,2023-01-18-01,62_YAaLR,0.3974358974358974,0.5256410256410257,0.6153846153846154,0.6538461538461539,0.7051282051282052
83,20230506-15-01-45,56_YAaDV,0.18181818181818182,0.21212121212121213,0.2727272727272727,0.3333333333333333,0.3333333333333333
84,2022-04-26-w00-NP1,56_YAaDV,0.47368421052631576,0.5789473684210527,0.6842105263157895,0.7894736842105263,0.8421052631578947
85,55_YAaDV,55_YAaDV,1.0,1.0,1.0,1.0,1.0
86,9,76_YAaDV,0.5735294117647058,0.6617647058823529,0.75,0.7794117647058824,0.8235294117647058
87,20190924_02,62_YAaLR,0.4943181818181818,0.6079545454545454,0.6931818181818182,0.7556818181818182,0.7727272727272727
88,2022-07-20-01,56_YAaDV,0.06493506493506493,0.2077922077922078,0.2077922077922078,0.2597402597402597,0.2987012987012987
89,20221106-21-23-19,56_YAaDV,0.18,0.2,0.26,0.32,0.38
90,20190924_03,64_YAaDV,0.44565217391304346,0.5869565217391305,0.6467391304347826,0.7010869565217391,0.7282608695652174
91,2023-01-16-01,56_YAaDV,0.06493506493506493,0.11688311688311688,0.16883116883116883,0.2597402597402597,0.2987012987012987
92,8,7_YAaLR,0.5151515151515151,0.6212121212121212,0.6515151515151515,0.7424242424242424,0.7878787878787878
93,2023-01-16-15,56_YAaDV,0.08571428571428572,0.11428571428571428,0.17142857142857143,0.21428571428571427,0.2714285714285714
94,2022-04-26-w01-NP1,62_YAaLR,0.2,0.4,0.45,0.525,0.55
95,20190928_03,56_YAaDV,0.40119760479041916,0.5688622754491018,0.6646706586826348,0.7305389221556886,0.7724550898203593
96,20190928_01,62_YAaLR,0.41420118343195267,0.5443786982248521,0.6568047337278107,0.7159763313609467,0.7455621301775148
97,20230904-14-30-52,56_YAaDV,0.10975609756097561,0.18292682926829268,0.25609756097560976,0.3048780487804878,0.32926829268292684
98,20230322-21-41-10,62_YAaLR,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.23529411764705882
99,20190924_01,76_YAaDV,0.4722222222222222,0.6555555555555556,0.7222222222222222,0.7833333333333333,0.8
100,20231013-13-28-0,56_YAaDV,0.34415584415584416,0.5324675324675324,0.6363636363636364,0.7077922077922078,0.7402597402597403
101,70_YAaLR,70_YAaLR,1.0,1.0,1.0,1.0,1.0
102,2022-01-22-w04-NP1,56_YAaDV,0.625,0.6875,0.75,0.7708333333333334,0.8333333333333334
103,20230918-9-54-0,62_YAaLR,0.35333333333333333,0.5,0.6133333333333333,0.68,0.7133333333333334
