Filename,Best_template,top1,top2,top3,top4,top5,cost
20230904-15-59-40,20230904-14-30-52,0.4787234042553192,0.6595744680851063,0.7127659574468085,0.776595744680851,0.7978723404255319,3.701559785510248
20230918-13-21-0,20230928-14-27-0,0.2483221476510067,0.3087248322147651,0.348993288590604,0.3691275167785235,0.4093959731543624,9.840367531000895
20190928_05,20190929_03,0.377906976744186,0.5813953488372093,0.6453488372093024,0.7034883720930233,0.7209302325581395,7.270090009104603
20190928_11,20190928_03,0.4640883977900552,0.6022099447513812,0.6464088397790055,0.6906077348066298,0.7071823204419889,8.051985293021255
20190928_07,20190925_01,0.5666666666666667,0.6388888888888888,0.7,0.7333333333333333,0.7555555555555555,6.135492274180377
20190928_13,20190928_03,0.4057142857142857,0.5428571428571428,0.5942857142857143,0.6514285714285715,0.6742857142857143,8.054728278168167
62_YAaLR,76_YAaDV,0.0793650793650793,0.1481481481481481,0.1851851851851851,0.238095238095238,0.291005291005291,8.848740941689753
20230510-12-53-34,20230506-15-33-51,0.5739130434782609,0.7043478260869566,0.7739130434782608,0.782608695652174,0.8,3.1053790911889405
2023-01-06-01,2023-01-10-07,0.3896103896103896,0.4675324675324675,0.5584415584415584,0.6363636363636364,0.6753246753246753,7.218319640250059
7_YAaLR,20_YAaLR,0.5260416666666666,0.640625,0.6770833333333334,0.703125,0.7395833333333334,8.589764167846822
2023-01-18-01,2022-08-02-01,0.6666666666666666,0.7555555555555555,0.7777777777777778,0.7777777777777778,0.8111111111111111,4.818251904615275
20230506-15-01-45,20230510-13-25-46,0.5454545454545454,0.7272727272727273,0.8080808080808081,0.8585858585858586,0.8888888888888888,3.4896300158988502
2022-04-26-w00-NP1,2022-02-22-w04-NP1,0.8277777777777777,0.9222222222222224,0.9444444444444444,0.9666666666666668,0.9722222222222222,4.7050956299745375
55_YAaDV,76_YAaDV,0.421875,0.5208333333333334,0.578125,0.6510416666666666,0.6770833333333334,7.515560377676988
9,3,0.784,0.84,0.888,0.888,0.888,3.817666679272102
20190924_02,20190929_06,0.4606741573033708,0.5898876404494382,0.6460674157303371,0.7078651685393258,0.7247191011235955,9.80288087553924
2022-07-20-01,2022-08-02-01,0.5257731958762887,0.6494845360824743,0.711340206185567,0.7525773195876289,0.7731958762886598,6.206715560094608
20221106-21-23-19,20221215-20-02-49,0.3893805309734513,0.504424778761062,0.6017699115044248,0.6283185840707964,0.6460176991150443,4.198930283395208
20190924_03,20190929_02,0.2659574468085106,0.3723404255319149,0.4468085106382978,0.5,0.5372340425531915,7.887243968899615
2023-01-16-01,2022-08-02-01,0.611764705882353,0.6705882352941176,0.7058823529411765,0.7411764705882353,0.7529411764705882,5.709062499521981
8,9,0.7542372881355932,0.8559322033898306,0.8813559322033898,0.9067796610169492,0.923728813559322,4.05545358477264
2023-01-16-15,2022-08-02-01,0.5054945054945055,0.6923076923076923,0.7472527472527473,0.7802197802197802,0.7802197802197802,6.39780358572785
2022-04-26-w01-NP1,2022-03-05-w00-NP1,0.7388888888888889,0.8277777777777777,0.8888888888888888,0.9277777777777778,0.9388888888888888,5.128704333154624
20190928_03,20190928_11,0.5,0.6547619047619048,0.7202380952380952,0.7380952380952381,0.7619047619047619,7.02649053502025
20190928_01,20190925_01,0.4244186046511627,0.5581395348837209,0.6162790697674418,0.6744186046511628,0.7209302325581395,7.7010513330551476
20230904-14-30-52,20230506-15-33-51,0.4892086330935252,0.5827338129496403,0.6115107913669064,0.6187050359712231,0.6402877697841727,2.834148309286638
20230322-21-41-10,20230322-22-43-03,0.660377358490566,0.8113207547169812,0.8679245283018868,0.8773584905660378,0.8962264150943396,4.133192734262388
20190924_01,20190925_01,0.4917127071823204,0.6077348066298343,0.6740331491712708,0.7292817679558011,0.7624309392265194,6.782917713456842
20231013-13-28-0,20231013-9-30-0,0.2857142857142857,0.3506493506493506,0.461038961038961,0.525974025974026,0.5714285714285714,8.916619941735284
70_YAaLR,7_YAaLR,0.4559585492227979,0.6632124352331606,0.6994818652849741,0.7409326424870466,0.7772020725388601,8.673354573029146
2022-01-22-w04-NP1,2022-04-01-w00-NP1,0.7,0.8529411764705882,0.8647058823529412,0.888235294117647,0.8941176470588236,4.249468911976308
20230918-9-54-0,20231013-13-28-0,0.0266666666666666,0.06,0.0866666666666666,0.12,0.14,10.431461663745834
